bank,split_ratio,train_n,test_n,naive_mae,garch_mae,improvement_pct,mu,mu_se,omega,omega_se,alpha,alpha_se,beta,beta_se,persistence
BID,60/40,1504,1004,0.013700422436817664,0.010562650676318239,22.902737305874393,0.001179415025070333,0.05071471254213313,0.12476748890709181,0.06268172623374665,0.06271645663960745,0.015969343771612896,0.9120516895632934,0.026733591870937407,0.9747681462029009
BID,70/30,1755,753,0.01151683339776665,0.00916996247646589,20.377744821383516,0.0010316463168245158,0.04816582083540741,0.11243530482658416,0.05345246168620164,0.05945195704824889,0.013578683132710228,0.9195848862486787,0.02166147150292066,0.9790368432969276
BID,80/19,2006,502,0.01164495428983231,0.00940787900753611,19.21068324200708,0.0010013904591636418,0.04298318638411302,0.1006671992616322,0.04019461378239395,0.05955708464110983,0.011619691058432205,0.9198234371186886,0.01750173656837439,0.9793805217597985
CTG,60/40,1495,998,0.013598289091981679,0.01018575252955847,25.095337651230214,0.0005724241821876954,0.0483681607004237,0.10954150365072965,0.049765624231085,0.08195512307859046,0.0192568257758096,0.8967314231873672,0.026064115219535937,0.9786865462659576
CTG,70/30,1745,748,0.011300430054679057,0.009267396402442776,17.990763558546895,0.0004013001144004051,0.04504532318220385,0.12434713941797855,0.04763377074647615,0.09018373555857077,0.016683271506612248,0.8878885465681583,0.02180221769957724,0.978072282126729
CTG,80/19,1994,499,0.01177427349825457,0.009685049564102908,17.743973201075807,0.0005471493842711641,0.04000016958991147,0.10666193654525559,0.03670333644888349,0.08641728964462707,0.01453727026497412,0.8930342798103196,0.018518273476420658,0.9794515694549466
VCB,60/40,1504,1004,0.010201937704836121,0.008263356241407914,19.00209077447359,0.0010944599450580018,0.039274861122215926,0.09625085573658926,0.054370638736800654,0.06953978152279783,0.020158593221978015,0.9013140804144456,0.034205938433990495,0.9708538619372434
VCB,70/30,1755,753,0.009087768293599571,0.007787762474842191,14.305006210083086,0.0010215631336547247,0.037714461169134184,0.12647329869434734,0.10979152425428612,0.07513701740357255,0.03266648884435901,0.8864935350540887,0.06475409075282831,0.9616305524576613
VCB,80/19,2006,502,0.008870550230699315,0.00800882789616725,9.714418070141873,0.0009057415746837207,0.033939817226362363,0.1154345188273458,0.12320602474264199,0.07196043110718589,0.039598432253286096,0.8898677018473033,0.0793593465228242,0.9618281329544892
