bank,series,acf_lag1,acf_lag5,acf_lag10,acf_lag20,n_significant_lags,first_insignificant_lag,halflife_lag,ljungbox_p_lag5,ljungbox_p_lag10,ljungbox_p_lag20
BID,return,0.0008984217033766072,0.012834768174520445,0.044493959089811956,-0.0029923435153499734,7,1.0,4.0,0.9845778281622147,0.5055013528809935,0.3948536438318553
BID,abs_return,0.23585909916503375,0.14939808399860494,0.13078490363105888,0.0803449823153646,60,,6.0,4.797010425966844e-98,5.664354376823757e-137,2.4545984280845095e-195
CTG,return,-0.03532941489931124,0.012258480187718069,0.044966231171404095,0.0004587390469925877,7,1.0,,0.22072665926593243,0.011391037862931129,0.12588571620118702
CTG,abs_return,0.20847019112530013,0.18262639680429082,0.15024792578317397,0.10725811907623618,60,,16.0,2.6637419369131206e-116,3.6816324325253844e-167,1.2388608780068925e-226
VCB,return,0.028708174678264087,0.004569446788299636,0.008912134059079995,0.007615364992955444,6,1.0,3.0,0.13960275410785059,0.027763060925640355,0.16529815498786693
VCB,abs_return,0.241840150644525,0.15722378674091336,0.11731731153152052,0.07544864752297521,51,36.0,8.0,5.48796155274863e-108,1.041943570632674e-142,7.763402331929396e-171
