fold,train_n,test_n,naive_vol_mae,xgb_vol_mae,np_vol_mae,tft_vol_mae,hybrid_vol_mae,naive_price_mae,xgb_price_mae,np_price_mae,tft_price_mae,hybrid_price_mae
1,1244,125,0.015216634757535165,0.011516293269665544,0.011920464332524144,0.009983256798003952,0.010821709916961174,1.0472799999999998,2.4657805627441403,4.020670676269531,0.7761417846679687,0.6787187497390834
2,1617,124,0.007425824262425672,0.00752720114520795,0.00727430703131512,0.0049968650716653495,0.00910228872639742,0.9374193548387098,10.859431311084379,1.723341378242739,0.7552339073919481,0.45218942006832774
3,1991,124,0.010401122835174479,0.012148951732113384,0.011445282396349439,0.007625487237959685,0.013874546070567706,1.1174999999999995,1.795341577837544,3.622271355659731,0.6816115619290259,0.6403274246130509
4,2240,125,0.012447542398404926,0.010324641994601653,0.01214935649371294,0.0086605565813476,0.012998606060009426,1.31328,2.2336562097167962,4.5062715051269535,0.9834811938476562,0.8151979911888049
