fold,train_n,test_n,naive_vol_mae,xgb_vol_mae,np_vol_mae,tft_vol_mae,hybrid_vol_mae,naive_price_mae,xgb_price_mae,np_price_mae,tft_price_mae,hybrid_price_mae
1,1237,123,0.02312925891680165,0.013467554942978315,0.018663943434522323,0.014622749788002088,0.01413386634229073,0.49284552845528445,0.7978138487901144,1.2512349676116694,0.36999115455441367,0.3665770276813457
2,1608,123,0.013549572672094987,0.009996647133812615,0.014453321051789871,0.008723739211817478,0.011017941293370675,0.5076422764227645,0.4421095499178261,0.6743184897570105,0.42347574683708883,0.3224608530235873
3,1979,124,0.012112540899065912,0.010967812906222668,0.015229652333034147,0.00901969982986081,0.012513445180481227,0.5787096774193549,4.606912499089394,2.44722650343372,0.4878754701922017,0.3633233420211196
4,2226,124,0.013216700245377053,0.009794719996436775,0.010396223207973027,0.008537719911236044,0.010841095996354844,0.7592741935483868,8.425845568256994,2.2205339136431292,0.6225675022986626,0.47671252133438446
