fold,train_n,test_n,naive_vol_mae,garch_vol_mae,ridge_vol_mae,rf_vol_mae,hybrid_vol_mae,np_vol_mae,naive_price_mae,ridge_price_mae,rf_price_mae,np_price_mae,hybrid_price_mae
1,1237,123,0.02312925891680165,0.015621181798014954,0.013338804232239149,0.013397906175105351,0.013796901588114271,0.022234806094180715,0.49284552845528445,0.3666905603182523,0.48445826458516894,1.1897347972838859,0.3665770276813457
2,1608,123,0.013549572672094987,0.011490786064870468,0.010439358360777827,0.009651460285438354,0.010866062670850737,0.014422636218860826,0.5076422764227645,0.3223997912285459,0.34615689953604845,0.7294088639670271,0.3224608530235873
3,1979,124,0.012112540899065912,0.013375878106578917,0.011028510749399137,0.011413662224958697,0.012150639262998529,0.013603958400996197,0.5787096774193549,0.36318726907584314,4.270991566007389,2.356231506101547,0.3633233420211196
4,2226,124,0.013216700245377053,0.011271772717672277,0.01001950669392738,0.00971458472232978,0.01063634997168209,0.010457595323628957,0.7592741935483868,0.4767199769933302,7.53493467741935,2.157094054683563,0.47671252133438446
