fold,train_n,test_n,naive_vol_mae,garch_vol_mae,ridge_vol_mae,rf_vol_mae,hybrid_vol_mae,np_vol_mae,naive_price_mae,ridge_price_mae,rf_price_mae,np_price_mae,hybrid_price_mae
1,1244,125,0.021508958613818366,0.01774163986374493,0.015050538514331215,0.01565340186315761,0.015905464211358987,0.01838537853520849,0.8124,0.5862463658804548,1.0243771501944128,2.9367420086669926,0.5862859504840713
2,1617,124,0.012225208506330887,0.010881728730397753,0.009649403414463345,0.008630728464024927,0.010128413197992103,0.011396515566554287,0.8405645161290323,0.490523142544626,6.66328104838708,1.8608556021413492,0.4904143740555852
3,1991,124,0.011416203575595725,0.012629965939554505,0.013277604754970257,0.014335367653114222,0.012865775729564525,0.012850394780293036,0.7495967741935481,0.43078745730568313,0.9150999681760326,1.7715538387913854,0.430840117834342
4,2240,125,0.01518549461676904,0.013181857788039136,0.012537251620200916,0.010928306187940457,0.012832133104657393,0.01418731923627594,0.9902399999999996,0.6664290198280364,2.348108531929058,4.102723149414063,0.6663026500804138
