bank,n_folds,avg_naive_vol,avg_xgb_vol,avg_np_vol,avg_tft_vol,avg_hybrid_vol,avg_naive_price,avg_xgb_price,avg_np_price,avg_tft_price,avg_hybrid_price,best_vol,best_price
BID,4,0.015083966328128504,0.0126054074169773,0.014570434134329426,0.013611042625076553,0.0130726487837476,0.848200322580645,2.98075066947937,2.600413002578401,0.8275370329063167,0.5434607731136031,XGBoost,Hybrid
CTG,4,0.015502018183334899,0.011056683744862593,0.014068444837040069,0.013018869203086243,0.01212658720312437,0.5846179189614477,3.5681703665135824,1.6711935904863542,0.5268281976113067,0.3822684360151093,XGBoost,Hybrid
VCB,4,0.01137278106338506,0.010379272035397133,0.01066355849642777,0.010540706864714675,0.011699287693483931,1.1038698387096773,4.338552415345714,3.4168936343241887,1.1139144232965288,0.6466083964023167,XGBoost,Hybrid
