bank,ridge_alpha,naive_vol_mae,hybrid_vol_mae,vol_improvement_pct,naive_price_mae,hybrid_price_mae,price_improvement_pct
BID,0.1,0.011348241543605152,0.011496145798608902,-1.3033231134130674,0.5695187165775399,0.46001015201535955,19.22826438791337
BID,1.0,0.011348241543605152,0.011731825736862711,-3.3801200986395297,0.5695187165775399,0.45982244523635585,19.261223230799466
BID,10.0,0.011348241543605152,0.01210367032593625,-6.656791533986954,0.5695187165775399,0.459815378330361,19.262464086593862
BID,100.0,0.011348241543605152,0.012168911485347003,-7.231692580638685,0.5695187165775399,0.4669391208283588,18.01162854938674
CTG,0.1,0.011227593954681765,0.011538375787940014,-2.768018103546186,0.4098655913978494,0.3773270759084231,7.9388258425044755
CTG,1.0,0.011227593954681765,0.011320222901950951,-0.8250115531703986,0.4098655913978494,0.37679472084856047,8.068711119784536
CTG,10.0,0.011227593954681765,0.011366134089369682,-1.2339254095499872,0.4098655913978494,0.37937784087141263,7.438475238298996
CTG,100.0,0.011227593954681765,0.011378936858713523,-1.3479549103986777,0.4098655913978494,0.4137501658365532,-0.947767882991948
VCB,0.1,0.009311140090076784,0.010558495721906362,-13.396379173361705,0.7432085561497325,0.5890597697995463,20.74098650704045
VCB,1.0,0.009311140090076784,0.012100269939827036,-29.954761960060384,0.7432085561497325,0.5896734777821848,20.658411033768466
VCB,10.0,0.009311140090076784,0.012907607869730652,-38.625428732263984,0.7432085561497325,0.5898017184122597,20.64115603461463
VCB,100.0,0.009311140090076784,0.01302351694049553,-39.87027167999716,0.7432085561497325,0.5931739114067807,20.18742161960857
