bank,split_ratio,train_pct,naive_vol_mae,xgb_vol_mae,improvement_pct
BID,60/40,0.6,0.011738501015731904,0.010389079769425871,11.495686242200282
BID,70/30,0.7,0.011348241543605152,0.01157240773296987,-1.975338544772497
BID,80/19,0.8,0.01518549461676904,0.011251104351397484,25.90887135824267
CTG,60/40,0.6,0.011659605536261712,0.010459086236407436,10.296397216189053
CTG,70/30,0.7,0.011227593954681765,0.010480326453360991,6.655633471757081
CTG,80/19,0.8,0.013216700245377053,0.009704608883461469,26.57313320807171
VCB,60/40,0.6,0.008828983486582117,0.008933403814581145,-1.1826993238544545
VCB,70/30,0.7,0.009311140090076784,0.010522684060823363,-13.01176825851611
VCB,80/19,0.8,0.012447542398404926,0.01169304064986676,6.0614515250404075
