bank,rows_total,train_rows,val_rows,test_rows,train_end,val_start,test_start,model,val_mae,val_rmse,test_mae,test_rmse
BID,2510,1757,376,377,2023-02-20,2023-02-21,2024-08-21,Naive,0.41800531914893635,0.5769778656472088,0.4609814323607426,0.7366867903360986
BID,2510,1757,376,377,2023-02-20,2023-02-21,2024-08-21,NeuralProphet v2,1.3066934930517315,1.6356662039538767,1.8081930981137713,2.5826533278028556
CTG,2495,1746,374,375,2023-02-24,2023-02-27,2024-08-23,Naive,0.2334224598930483,0.3371784465425306,0.3445599999999999,0.5226892001945319
CTG,2495,1746,374,375,2023-02-24,2023-02-27,2024-08-23,NeuralProphet v2,0.7662071320844845,0.9840471543162946,1.088119061279297,1.4870653255098585
VCB,2510,1757,376,377,2023-02-20,2023-02-21,2024-08-21,Naive,0.5069148936170224,0.695840605983994,0.580159151193633,0.9681837846446316
VCB,2510,1757,376,377,2023-02-20,2023-02-21,2024-08-21,NeuralProphet v2,2.197775504335444,2.7392669957527187,3.1670129912601537,4.527990980996758
