ds,close,volatility,actual_vol,naive_vol_pred,xgb_vol_pred,np_vol_pred,tft_vol_pred,hybrid_vol_pred
2025-04-08,24.7,0.07260308097430157,0.07260308097430157,0.0,0.021921558,0.003537733,0.006209372542798519,0.025308240012005136
2025-04-03,26.8,0.0716262171072734,0.0716262171072734,0.0,0.009233456,-0.0028313235,0.004519328940659761,0.013202900667436202
2025-04-10,24.81,0.06709451903144538,0.06709451903144538,0.0,0.020559309,0.010681783,0.011454785242676735,0.034146985903369745
2025-10-20,33.8,0.06527789270544986,0.06527789270544986,0.0,0.017009264,0.008054696,0.012909038923680782,0.021672794001426344
2026-01-09,40.75,0.06462032407434219,0.06462032407434219,0.0,0.015536765,-0.014193954,0.009539677761495113,0.01995896845138797
2025-04-09,23.2,0.06265096496166726,0.06265096496166726,0.0,0.021158323,0.018197099,0.008672785013914108,0.031198726176361158
2025-04-11,26.35,0.060221477283661735,0.060221477283661735,0.0,0.032068484,-0.020864066,0.014255913905799389,0.03324562524920503
2025-12-03,35.94,0.05843586696900833,0.05843586696900833,0.0,0.010957571,0.028207146,0.007699971552938223,0.01617005353693139
2024-12-25,26.21,0.05368576027003698,0.05368576027003698,0.0,0.007811093,0.0012997593,0.001586445141583681,0.01246534311341382
2025-07-30,31.7,0.053121296558406604,0.053121296558406604,0.0,0.016880987,0.042649865,0.003462703200057149,0.018882738695381422
2025-08-26,35.14,0.042139025340489696,0.042139025340489696,0.0,0.022194585,0.006279611,0.015627531334757805,0.022509660973533997
2025-11-07,33.87,0.041919708906079024,0.041919708906079024,0.0,0.012188951,0.031173976,0.01303396001458168,0.019350393126560957
2025-05-13,27.04,0.04037522550010621,0.04037522550010621,0.0,0.010726338,0.010189741,0.005905197933316231,0.01772114118446296
2025-07-29,30.06,0.04010317335596238,0.04010317335596238,0.0,0.017671652,0.0550284,0.001881032483652234,0.013017084515543495
2025-07-07,30.47,0.03915507697459605,0.03915507697459605,0.0,0.016644485,0.012428768,0.0035727855283766985,0.012125051391545646
2025-10-09,37.74,0.03890279866959919,0.03890279866959919,0.0,0.012065938,0.014611755,0.010757122188806534,0.01844649800220457
2025-09-22,33.83,0.037992099966334056,0.037992099966334056,0.0,0.013476324,0.022757947,0.009279550984501839,0.017077383863173735
2025-08-25,33.69,0.03614500140027912,0.03614500140027912,0.0,0.024745032,0.0051999036,0.014247093349695206,0.021508054896196088
2025-06-13,27.38,0.0356915207661235,0.0356915207661235,0.0,0.012201821,0.015196593,0.005346531979739666,0.014687795682895214
2026-01-15,40.0,0.03560842746736777,0.03560842746736777,0.0,0.014428249,0.01818051,0.009673729538917542,0.02319548005517754
