ds,close,volatility,actual_vol,naive_vol_pred,xgb_vol_pred,np_vol_pred,tft_vol_pred,hybrid_vol_pred
2025-04-03,35.6,0.07232066157962613,0.07232066157962613,0.0,0.01133066,0.0010357442,0.004805868025869131,0.015625521013363078
2026-01-15,50.7,0.07227479107206079,0.07227479107206079,0.0,0.028626228,0.02503836,0.0202447772026062,0.03182597939515462
2025-04-08,33.13,0.07190642154618021,0.07190642154618021,0.0,0.027931696,0.0023529662,0.004736615344882011,0.0241670725716039
2026-02-10,47.1,0.07167857527104785,0.07167857527104785,0.0,0.024106659,0.012621397,0.01907697319984436,0.02338696587944407
2025-10-20,36.5,0.06753061569724905,0.06753061569724905,0.0,0.007009952,0.0029834723,0.008485693484544754,0.018088598516980397
2026-01-09,46.05,0.06736553182757614,0.06736553182757614,0.0,0.026120754,0.018592553,0.011371735483407974,0.029263548636045023
2025-04-10,34.32,0.06718381949799597,0.06718381949799597,0.0,0.027910275,0.002282713,0.010584186762571335,0.028890369574750538
2026-01-12,49.25,0.06718160491678206,0.06718160491678206,0.0,0.03709895,0.0111604,0.01438989955931902,0.03008292490105841
2026-01-14,54.5,0.06637506894487259,0.06637506894487259,0.0,0.01986895,0.012309017,0.016645090654492378,0.031887023510339924
2025-04-11,36.35,0.05746592935976693,0.05746592935976693,0.0,0.017966507,0.00397011,0.01473032683134079,0.02698282699135663
2025-08-25,40.55,0.053301141677395504,0.053301141677395504,0.0,0.014425921,0.0068802736,0.013414613902568817,0.026639646675424497
2025-07-29,36.99,0.05214451350625519,0.05214451350625519,0.0,0.024772348,0.032356158,0.005767387337982655,0.017399152429107924
2026-01-07,40.95,0.05135755967467784,0.05135755967467784,0.0,0.033172958,0.009521092,0.007151379715651274,0.01644119975287788
2026-01-08,43.05,0.0500104205746612,0.0500104205746612,0.0,0.015456427,-0.0027889686,0.009860091842710972,0.02186766422698926
2026-02-23,49.1,0.04584135934824128,0.04584135934824128,0.0,0.023397638,0.0007549829,0.01753593422472477,0.027760245650233044
2025-05-14,37.04,0.04500414365416644,0.04500414365416644,0.0,0.01113057,0.0045394143,0.00850781612098217,0.0203828209149874
2025-12-03,38.4,0.041201840958335484,0.041201840958335484,0.0,0.011195344,0.0024535058,0.005435974337160587,0.015916263475263117
2025-01-07,39.96,0.04060304952149175,0.04060304952149175,0.0,0.028352942,0.0045786523,0.007490150630474091,0.016682176577316035
2025-08-21,41.83,0.03850378158953474,0.03850378158953474,0.0,0.016385686,0.013229248,0.009401984512805939,0.023033295347244444
2026-01-30,53.9,0.037811687743108426,0.037811687743108426,0.0,0.025559127,0.004417955,0.015068423002958298,0.026132320170600333
