ds,actual_price,actual_volatility,naive_vol_pred,xgb_vol_pred,np_vol_pred,tft_vol_pred,hybrid_vol_pred,naive_price_pred,xgb_price_pred,np_price_pred,tft_price_pred,hybrid_price_pred
2023-03-01,52.31,0.005338430218733095,0.0,0.008641456,0.0,0.008585713803768158,0.014854853689093048,0.0,51.904785,52.31,52.52618408203125,52.5734303053608
2023-03-02,52.43,0.0022913892019215763,0.0,0.011118003,0.0,0.00811791606247425,0.014669917463197235,52.31,52.137676,52.31,52.33452606201172,52.30689064010621
2023-03-03,51.13,0.025107537492533506,0.0,0.010363748,0.0,0.007332242093980312,0.014508603191089778,52.43,52.069935,52.31,52.410850524902344,52.42622799485427
2023-03-06,51.19,0.0011727913775838182,0.0,0.013859578,0.0,0.009645761922001839,0.015495568801892387,51.13,51.039993,52.31,51.019622802734375,51.140251652813625
2023-03-07,51.69,0.009720138738455987,0.0,0.009742709,0.0,0.00791904330253601,0.014722837331919477,51.19,50.842865,52.31,51.1329460144043,51.19105952689026
2023-03-08,51.86,0.0032834409025704952,0.0,0.009962106,0.0,0.008108986541628838,0.014605284784264008,51.69,51.317932,52.31,51.738990783691406,51.68887146136539
2023-03-09,52.31,0.00863977727200141,0.0,0.009452265,0.0,0.007174677215516567,0.014102360772129256,51.86,51.239624,52.31,51.89168167114258,51.85181255617273
2023-03-10,51.81,0.009604376555822795,0.0,0.009808327,0.0,0.007347014732658863,0.014165580627102966,52.31,52.09159,52.31,52.29681396484375,52.29039157253827
2023-03-13,51.47,0.006584067162033797,0.0,0.0076686786,0.0,0.007449845317751169,0.013595747863313735,51.81,51.285267,52.31,51.81898880004883,51.797980082787554
2023-03-14,51.19,0.005454913195171269,0.0,0.008043459,0.0,0.006944216787815094,0.013496600025961963,51.47,50.924713,52.31,51.40087127685547,51.46444905298485
2023-03-15,51.41,0.0042885055979214525,0.0,0.0064991647,-0.000606286,0.006386530585587025,0.013468237972434766,51.19,50.914043,51.90666,51.122920989990234,51.19122943933495
2023-03-16,51.19,0.004288505597921422,0.0,0.004497845,0.015775757,0.0058474731631577015,0.01302261075608724,51.41,50.993317,51.979267,51.39872741699219,51.406068263402275
2023-03-17,50.06,0.022321914465863648,0.0,0.007845448,0.009621933,0.005395123735070229,0.012990899959931013,51.19,51.032578,51.673637,51.123252868652344,51.18358088968226
2023-03-20,47.87,0.04473328259921058,0.0,0.012069349,0.011074344,0.006990221794694662,0.015781091268313174,50.06,49.585117,51.341145,50.34695053100586,50.09408220241521
2023-03-21,48.66,0.016368333950958956,0.0,0.019550024,0.0030728993,0.009288148954510689,0.017701770278913218,47.87,47.901505,51.51889,49.08719253540039,47.90440325976044
