bank,n_days,naive_vol_mae,xgb_vol_mae,np_vol_mae,tft_vol_mae,hybrid_vol_mae,naive_price_mae,xgb_price_mae,np_price_mae,tft_price_mae,hybrid_price_mae,best_vol,best_price
BID,747,0.011485734289280363,0.010128016808908794,0.012668494658832082,0.010158489283416996,0.01082260383082264,0.48179384203480585,4.78667855197646,3.325450626379514,0.5302919801969923,0.4376172362855387,XGBoost,Hybrid
CTG,743,0.011281422276940069,0.009705159144671576,0.010176555067017059,0.010547028087826859,0.010677333239095449,0.3126110363391656,3.2926135453112515,3.9897822364502935,0.3422563977453301,0.31042701098352676,XGBoost,Hybrid
VCB,747,0.009110573710386502,0.008908124868485735,0.007358607560029128,0.008455724408032514,0.010169719738897723,0.6149665327978581,7.808807036005348,3.4150816548475733,0.7029827909456839,0.5500894491200653,NP,Hybrid
