feature,importance
encoder_pos_1,12.169076919555664
encoder_pos_2,12.0916166305542
encoder_pos_3,11.923505783081055
encoder_pos_4,11.899480819702148
encoder_pos_5,11.930269241333008
encoder_pos_6,11.971909523010254
encoder_pos_7,12.017704010009766
encoder_pos_8,12.053147315979004
encoder_pos_9,12.090347290039062
encoder_pos_10,12.128316879272461
encoder_pos_11,12.170501708984375
encoder_pos_12,12.220261573791504
encoder_pos_13,12.269218444824219
encoder_pos_14,12.321501731872559
encoder_pos_15,12.375421524047852
encoder_pos_16,12.428943634033203
encoder_pos_17,12.490909576416016
encoder_pos_18,12.550191879272461
encoder_pos_19,12.615409851074219
encoder_pos_20,12.682242393493652
encoder_pos_21,12.74544906616211
encoder_pos_22,12.81712532043457
encoder_pos_23,12.88563060760498
encoder_pos_24,12.955273628234863
encoder_pos_25,13.025166511535645
encoder_pos_26,13.093183517456055
encoder_pos_27,13.1658353805542
encoder_pos_28,13.235002517700195
encoder_pos_29,13.305618286132812
encoder_pos_30,13.371739387512207
