feature,importance
encoder_pos_1,16.509790420532227
encoder_pos_2,12.556528091430664
encoder_pos_3,12.01479434967041
encoder_pos_4,11.871559143066406
encoder_pos_5,11.763368606567383
encoder_pos_6,11.724442481994629
encoder_pos_7,11.733732223510742
encoder_pos_8,11.760637283325195
encoder_pos_9,11.802021026611328
encoder_pos_10,11.826716423034668
encoder_pos_11,11.838354110717773
encoder_pos_12,11.879483222961426
encoder_pos_13,11.916288375854492
encoder_pos_14,11.951391220092773
encoder_pos_15,11.996254920959473
encoder_pos_16,12.067651748657227
encoder_pos_17,12.175932884216309
encoder_pos_18,12.266098022460938
encoder_pos_19,12.35595989227295
encoder_pos_20,12.430850982666016
encoder_pos_21,12.514062881469727
encoder_pos_22,12.612951278686523
encoder_pos_23,12.695425033569336
encoder_pos_24,12.802196502685547
encoder_pos_25,12.931883811950684
encoder_pos_26,13.108881950378418
encoder_pos_27,13.35599422454834
encoder_pos_28,13.636962890625
encoder_pos_29,14.151383399963379
encoder_pos_30,14.748406410217285
