feature,importance
encoder_pos_1,6.478847026824951
encoder_pos_2,7.525617599487305
encoder_pos_3,9.523353576660156
encoder_pos_4,10.975948333740234
encoder_pos_5,11.839327812194824
encoder_pos_6,12.29349422454834
encoder_pos_7,12.569375991821289
encoder_pos_8,12.738693237304688
encoder_pos_9,12.840051651000977
encoder_pos_10,12.93836498260498
encoder_pos_11,12.978228569030762
encoder_pos_12,13.03178596496582
encoder_pos_13,13.090906143188477
encoder_pos_14,13.122096061706543
encoder_pos_15,13.185503005981445
encoder_pos_16,13.201604843139648
encoder_pos_17,13.220940589904785
encoder_pos_18,13.23254680633545
encoder_pos_19,13.238874435424805
encoder_pos_20,13.278768539428711
encoder_pos_21,13.298593521118164
encoder_pos_22,13.32753849029541
encoder_pos_23,13.404657363891602
encoder_pos_24,13.453243255615234
encoder_pos_25,13.534215927124023
encoder_pos_26,13.581070899963379
encoder_pos_27,13.63818359375
encoder_pos_28,13.719860076904297
encoder_pos_29,13.80333137512207
encoder_pos_30,13.934977531433105
