bank,best_w,best_val_mae,garch_mae,ridge_mae
BID,0.45,0.0073178122716275286,0.008664112175808944,0.008350953161307283
CTG,0.5,0.007716052959813326,0.008712189963903591,0.008875944900695508
VCB,0.4,0.005811664719528512,0.007006789220332799,0.006550294036180914
