bank,rows_total,train_rows,val_rows,test_rows,train_end,val_start,test_start,model,val_mae,val_rmse,test_mae,test_rmse
BID,2510,1757,376,377,2023-02-20,2023-02-21,2024-08-21,Naive,0.41800531914893635,0.5769778656472088,0.46098143236074246,0.7366867903360985
BID,2510,1757,376,377,2023-02-20,2023-02-21,2024-08-21,TFT v2,5.379356384277344,6.444011688232422,2.436047315597534,3.695209264755249
CTG,2495,1746,374,375,2023-02-24,2023-02-27,2024-08-23,Naive,0.23342245989304825,0.33717844654253076,0.3445599999999999,0.5226892001945325
CTG,2495,1746,374,375,2023-02-24,2023-02-27,2024-08-23,TFT v2,1.9381976127624512,2.217196226119995,5.7934699058532715,7.491424083709717
VCB,2510,1757,376,377,2023-02-20,2023-02-21,2024-08-21,Naive,0.5069148936170214,0.6958406059839928,0.5801591511936338,0.9681837846446336
VCB,2510,1757,376,377,2023-02-20,2023-02-21,2024-08-21,TFT v2,12.08250617980957,13.018417358398438,2.476968765258789,3.5037355422973633
