fold,train_end,test_start,test_end,n_train,n_test,naive_mae,garch_mae,ridge_mae,hybrid_mae
1,1237,1237,1608,1237,371,0.01670574817583213,0.013088179274895374,0.015131906743868922,0.01384169119938865
2,1608,1608,1979,1608,371,0.014511410266101817,0.011853572725987341,0.010402212897542232,0.010792559712586192
3,1979,1979,2226,1979,247,0.01094103841254402,0.010673445345441415,0.009879666806173495,0.010192497003021356
4,2226,2226,2474,2226,248,0.012664620572221483,0.012393581689793633,0.010375778148713384,0.011338175009605819
