fold,train_n,val_n,test_n,best_w,naive_mae,garch_mae,ridge_mae,hybrid_mae
1,1244,373,125,0.0,0.021508958613818366,0.01774163986374493,0.015050538514331215,0.015050538514331215
2,1617,374,124,0.0,0.012225208506330887,0.010881728730397753,0.009649403414463345,0.009649403414463345
3,1991,249,124,0.25,0.011416203575595725,0.012629965939554505,0.013277604754970257,0.013039468489850022
4,2240,124,125,0.1,0.01518549461676904,0.013181857788039136,0.012537251620200916,0.012596227917092214
