fold,train_n,val_n,test_n,best_w,naive_mae,garch_mae,ridge_mae,hybrid_mae
1,1237,371,123,1.0,0.02312925891680165,0.015621181798014954,0.013338804232239149,0.015621181798014954
2,1608,371,123,0.05,0.013549572672094987,0.011490786064870468,0.010439358360777827,0.010474421364686789
3,1979,247,124,0.0,0.012112540899065912,0.013375878106578917,0.011028510749399137,0.011028510749399137
4,2226,124,124,0.0,0.013216700245377053,0.011271772717672277,0.01001950669392738,0.01001950669392738
