fold,train_n,val_n,test_n,best_w,naive_mae,garch_mae,ridge_mae,hybrid_mae
1,1244,373,125,0.0,0.015216634757535165,0.011964049444169008,0.010268209648765356,0.010268209648765356
2,1617,374,124,0.0,0.007425824262425672,0.009326856681708125,0.00887012711758372,0.00887012711758372
3,1991,249,124,0.75,0.010401122835174479,0.01183725795931415,0.01780602383749388,0.013091181075463532
4,2240,124,125,1.0,0.012447542398404926,0.011308876619646175,0.01678186323070784,0.011308876619646175
