fold,train_end,test_start,test_end,n_train,n_test,naive_mae,garch_mae,ridge_mae,hybrid_mae
1,1244,1244,1617,1244,373,0.01607784121454875,0.013693929380050283,0.011824015656431427,0.012631585473380518
2,1617,1617,1991,1617,374,0.014728061894990294,0.012871595601453432,0.010736726499154858,0.011572672766598699
3,1991,1991,2240,1991,249,0.009824787637041591,0.009592536869272616,0.009409443959519823,0.009409368501350957
4,2240,2240,2489,2240,249,0.013308417953694779,0.012785900852282124,0.01228531848670715,0.01249031502692245
