bank,n_folds,avg_naive,avg_garch,avg_ridge,avg_hybrid,winner
BID,4,0.015083966328128504,0.013608798080434081,0.012628699575991434,0.012583909583934199,Hybrid
CTG,4,0.015502018183334899,0.012939904671784153,0.011206545009085873,0.011785905151507065,Ridge
VCB,4,0.01137278106338506,0.011109260176209366,0.013431555958637698,0.010884598615364696,Hybrid
