bank,n_folds,naive_avg,garch_avg,ridge_avg,hybrid_avg,garch_vs_naive,hybrid_vs_naive
BID,4,0.013484777175068853,0.012235990675764613,0.011063876150453315,0.011525985442063156,9.26071289937992,14.525948093730335
CTG,4,0.013705704356674862,0.01200219475902944,0.01144739114907451,0.011541230731150504,12.429201399020325,15.792501933475824
VCB,4,0.010361367844724334,0.009916721049020902,0.010391764396915467,0.009979188219356856,4.291390889377905,3.688505524510177
