fold,train_end,test_start,test_end,n_train,n_test,naive_mae,garch_mae,ridge_mae,hybrid_mae
1,1244,1244,1617,1244,373,0.012252680171715772,0.01016419344694983,0.008815190796835055,0.009378077867132966
2,1617,1617,1991,1617,374,0.01150938316609923,0.009519527118266561,0.008241861658899218,0.008646300125562107
3,1991,1991,2240,1991,249,0.006254966148061244,0.008227757182254446,0.008274766059716018,0.008232783696267312
4,2240,2240,2489,2240,249,0.011428441893021089,0.01175540644861277,0.016235239072211576,0.013659591188465037
