feature,importance
garch_sigma_sq,0.07288318872451782
garch_sigma,0.06224031001329422
close_ma20,0.049688056111335754
garch_sigma_lag_1,0.043311040848493576
open_close_gap,0.029702814295887947
close_ma50,0.02941172383725643
high_low_range,0.028263308107852936
interest_rate,0.027052830904722214
vol20_lag_1,0.024403870105743408
abs_return,0.023517433553934097
garch_z,0.02305983193218708
volume_lag_2,0.02239410951733589
usd_vnd_change,0.021874194964766502
vn30_return,0.02166430838406086
ma50,0.02133469097316265
abs_return_lag_5,0.020952725782990456
volatility_20d,0.02087552100419998
usd_vnd,0.020842863246798515
log_return,0.020749403163790703
return_lag_2,0.020296616479754448
return_lag_5,0.02007356472313404
garch_z_lag_1,0.020009715110063553
ma20_ma50,0.019941959530115128
abs_return_lag_4,0.019882790744304657
abs_return_lag_2,0.019758174195885658
vn30_close,0.01975696161389351
ma20,0.019525926560163498
volume_lag_3,0.01904577575623989
vol20_lag_3,0.018853705376386642
rsi,0.018404027447104454
return_lag_4,0.018363535404205322
return_lag_3,0.018176507204771042
return_lag_1,0.01772531494498253
vol20_lag_2,0.017670603469014168
close,0.01744822971522808
abs_return_lag_3,0.01741788163781166
abs_return_lag_1,0.016893362626433372
volume,0.016752658411860466
vnindex_return,0.01671578176319599
vnindex_close,0.01637347601354122
volume_lag_1,0.013380064629018307
log_volume,0.013311157003045082
interest_rate_change,0.0
