feature,importance
garch_sigma_sq,0.09383007884025574
garch_sigma,0.0776582583785057
close_ma20,0.06869228184223175
garch_sigma_lag_1,0.03063003160059452
vol20_lag_1,0.025942569598555565
vnindex_return,0.025267863646149635
volume_lag_3,0.02366514876484871
abs_return_lag_2,0.023408718407154083
rsi,0.0232403427362442
high_low_range,0.022342054173350334
abs_return_lag_3,0.021759865805506706
ma20_ma50,0.02147248201072216
return_lag_3,0.02113218978047371
ma50,0.020630503073334694
close_ma50,0.02052913047373295
return_lag_1,0.020395874977111816
ma20,0.020176740363240242
return_lag_5,0.020155172795057297
garch_z_lag_1,0.019704554229974747
vol20_lag_3,0.019681144505739212
vol20_lag_2,0.019608469679951668
open_close_gap,0.019254235550761223
abs_return_lag_5,0.018976956605911255
return_lag_4,0.01889145001769066
abs_return_lag_4,0.018670283257961273
volatility_20d,0.01854478381574154
vnindex_close,0.018109919503331184
usd_vnd,0.017404748126864433
volume_lag_2,0.017379896715283394
vn30_close,0.017306186258792877
return_lag_2,0.017246494069695473
interest_rate,0.01689748838543892
log_return,0.016852689906954765
volume_lag_1,0.01681007817387581
volume,0.016798630356788635
vn30_return,0.01631832681596279
abs_return_lag_1,0.015704287216067314
close,0.015629975125193596
garch_z,0.015354440547525883
usd_vnd_change,0.015193041414022446
abs_return,0.014888159930706024
log_volume,0.012601854279637337
interest_rate_change,0.005242624785751104
