bank,train,val,test,naive_test_mae,ridge_test_mae,garch_test_mae,ensemble_test_mae,ensemble_weight
BID,1756,376,377,0.011360426698162307,0.008640682536399625,0.009456010282060705,0.007953319148354083,0.45
CTG,1745,374,375,0.011211562698341915,0.010098388870257833,0.009661440740814351,0.009273550086230865,0.5
VCB,1756,376,377,0.009306561439906845,0.006834021924789103,0.008293497769966319,0.006562482187654644,0.4
