bank,train,val,test,naive_test_mae,garch_test_mae,ridge_test_mae,rf_test_mae,ens_ridge_test_mae,ens_rf_test_mae,best_garch_ridge_w,best_garch_rf_w,best_model,best_mae
BID,1756,376,377,0.011360426698162307,0.009456010282060705,0.008640682536399625,0.010485657876711388,0.007953319148354083,0.009079848976232614,0.45,0.45,GARCH+Ridge,0.007953319148354083
CTG,1745,374,375,0.011211562698341915,0.009661440740814351,0.010098388870257833,0.008903904775858626,0.009273550086230865,0.008586062974975741,0.5,0.35000000000000003,GARCH+RF,0.008586062974975741
VCB,1756,376,377,0.009306561439906845,0.008293497769966319,0.006834021924789103,0.011358066670478248,0.006562482187654644,0.009149008961235265,0.4,0.5,GARCH+Ridge,0.006562482187654644
