bank,train,val,test,naive_test_mae,rf_test_mae,garch_test_mae,ensemble_test_mae,ensemble_weight
BID,1756,376,377,0.011360426698162307,0.010485657876711388,0.009456010282060705,0.009079848976232614,0.45
CTG,1745,374,375,0.011211562698341915,0.008903904775858628,0.009661440740814351,0.008586062974975741,0.35000000000000003
VCB,1756,376,377,0.009306561439906845,0.011358066670478248,0.008293497769966319,0.009149008961235265,0.5
