bank,n_days,start_date,end_date,mean_error,std_error,worst_date,worst_error,best_date,best_error
BID,377,2024-08-21,2026-02-27,0.007953319148354083,0.009130315747828188,2025-10-20,0.05703122005594823,2025-07-07,5.2034951264729595e-05
CTG,375,2024-08-23,2026-02-27,0.009273550086230865,0.008600602404230499,2025-04-03,0.05934649888401039,2025-06-19,3.494422908880551e-05
VCB,377,2024-08-21,2026-02-27,0.006562482187654644,0.008462913818261187,2025-04-03,0.06496577064062382,2025-06-12,7.967822460780254e-06
