bank,date,actual_vol,predicted_vol,underestimation
BID,2025-04-03,0.07232066157962613,0.01740784625361169,0.05491281532601444
BID,2026-01-15,0.07227479107206079,0.017393592802308233,0.05488119826975256
BID,2025-04-08,0.07190642154618021,0.017407214326797336,0.054499207219382874
BID,2026-02-10,0.07167857527104785,0.017393534764711862,0.05428504050633598
BID,2025-10-20,0.06753061569724905,0.017394103775638704,0.05013651192161035
CTG,2025-04-08,0.07260308097430157,0.01784336379341193,0.054759717180889636
CTG,2025-04-03,0.0716262171072734,0.017842780498095137,0.05378343660917827
CTG,2025-04-10,0.06709451903144538,0.017843920779358573,0.0492505982520868
CTG,2025-10-20,0.06527789270544986,0.017855154982913193,0.04742273772253666
CTG,2026-01-09,0.06462032407434219,0.017855565887014438,0.046764758187327754
VCB,2025-04-08,0.07252199035018736,0.013694020133592034,0.058827970216595325
VCB,2025-04-03,0.07195958977482857,0.013694181726998341,0.058265408047830224
VCB,2025-08-27,0.06732949653226918,0.013691428067608617,0.05363806846466056
VCB,2026-01-12,0.06683367936336695,0.01369126945671363,0.05314240990665332
VCB,2026-01-08,0.06652898850681352,0.013691270145503098,0.05283771836131042
