ds,actual,naive_pred,garch_pred,naive_error,garch_error
2024-08-21,0.021816661241012128,0.0,0.014118981510964215,0.021816661241012128,0.007697679730047913
2024-08-22,0.004390607915151119,0.0,0.01429506451592674,0.004390607915151119,0.009904456600775621
2024-08-23,0.0,0.0,0.013846454142140426,0.0,0.013846454142140426
2024-08-26,0.004246290881451097,0.0,0.013386255048419064,0.004246290881451097,0.009139964166967968
2024-08-27,0.005580188449977557,0.0,0.01299398182579024,0.005580188449977557,0.007413793375812683
2024-08-28,0.004288312690776254,0.0,0.01265244981102191,0.004288312690776254,0.008364137120245658
2024-08-29,0.004288312690776376,0.0,0.012309706690844227,0.004288312690776376,0.008021394000067851
2024-08-30,0.0023014969882791674,0.0,0.011967130951268693,0.0023014969882791674,0.009665633962989527
2024-09-04,0.007747504342384142,0.0,0.011629971571756223,0.007747504342384142,0.003882467229372081
2024-09-05,0.00997846297152672,0.0,0.01144338064953071,0.00997846297152672,0.0014649176780039894
2024-09-06,0.0011692977194633178,0.0,0.011350045117467901,0.0011692977194633178,0.010180747398004583
2024-09-09,0.0,0.0,0.011050582338747613,0.0,0.011050582338747613
2024-09-10,0.013445580709351097,0.0,0.01077263837383909,0.013445580709351097,0.002672942335512008
2024-09-11,0.006791197578001733,0.0,0.010903465975085834,0.006791197578001733,0.004112268397084101
2024-09-12,0.012527673575452774,0.0,0.010745462381745825,0.012527673575452774,0.0017822111937069486
2024-09-13,0.004364619989052834,0.0,0.010755791079380295,0.004364619989052834,0.006391171090327461
2024-09-16,0.011116840106339418,0.0,0.01052247608589463,0.011116840106339418,0.0005943640204447882
2024-09-17,0.017794661248944868,0.0,0.010561246778681213,0.017794661248944868,0.007233414470263655
2024-09-18,0.005475828832305122,0.0,0.010880317619953355,0.005475828832305122,0.005404488787648233
2024-09-19,0.005446007354105022,0.0,0.010655799434683616,0.005446007354105022,0.005209792080578594
2024-09-20,0.009757788495311654,0.0,0.010447415898575127,0.009757788495311654,0.0006896274032634729
2024-09-23,0.0033184035760743615,0.0,0.010433234595673531,0.0033184035760743615,0.00711483101959917
2024-09-24,0.003142316320858668,0.0,0.010210711598104886,0.003142316320858668,0.007068395277246218
2024-09-25,0.017514155844958544,0.0,0.010002803423025359,0.017514155844958544,0.007511352421933185
2024-09-26,0.003250449798315735,0.0,0.010371762511566834,0.003250449798315735,0.007121312713251098
2024-09-27,0.0,0.0,0.010173781866639083,0.0,0.010173781866639083
2024-09-30,0.00538644899828642,0.0,0.009958367091205025,0.00538644899828642,0.0045719180929186054
2024-10-01,0.0,0.0,0.009837815667673971,0.0,0.009837815667673971
2024-10-02,0.007500442793128891,0.0,0.009647303148453357,0.007500442793128891,0.0021468603553244656
2024-10-03,0.001137749005300099,0.0,0.009567678594922639,0.001137749005300099,0.00842992958962254
2024-10-04,0.003257862467737966,0.0,0.009404388704682907,0.003257862467737966,0.006146526236944941
2024-10-07,0.0031048313200907045,0.0,0.009281955021276813,0.0031048313200907045,0.006177123701186109
2024-10-08,0.005580188449977557,0.0,0.009166747738180445,0.005580188449977557,0.0035865592882028882
2024-10-09,0.005446007354104957,0.0,0.009118642343773013,0.005446007354104957,0.003672634989668056
2024-10-10,0.009879876182936537,0.0,0.009070938769046813,0.009879876182936537,0.0008089374138897237
2024-10-11,0.004433868828831477,0.0,0.009127322128866395,0.004433868828831477,0.004693453300034918
