bank,n_days,start_date,end_date,naive_mae,garch_mae,worst_date,worst_error,best_date,best_error
BID,377,2024-08-21,2026-02-27,0.011360426698162307,0.009456010282060705,2025-04-03,0.061613844676751045,2025-10-28,4.8463517677465456e-05
CTG,375,2024-08-23,2026-02-27,0.011211562698341915,0.009661440740814351,2025-04-03,0.06176049229516689,2025-09-08,8.001541414192487e-05
VCB,377,2024-08-21,2026-02-27,0.009306561439906845,0.008293497769966319,2025-04-03,0.06185365116547381,2025-11-05,1.3728576442117307e-05
