ds,actual,naive_pred,garch_pred,naive_error,garch_error
2024-08-21,0.02893777201221043,0.0,0.01813779197444351,0.02893777201221043,0.010799980037766922
2024-08-22,0.005818198230987279,0.0,0.018404823475181718,0.005818198230987279,0.01258662524419444
2024-08-23,0.0038825576556660454,0.0,0.01786852661701213,0.0038825576556660454,0.013985968961346086
2024-08-26,0.006073139035484774,0.0,0.017322100942651776,0.006073139035484774,0.011248961907167003
2024-08-27,0.012011420301092174,0.0,0.016849882578515534,0.012011420301092174,0.00483846227742336
2024-08-28,0.0,0.0,0.016541587061708374,0.0,0.016541587061708374
2024-08-29,0.005936203432347368,0.0,0.016057355436715128,0.005936203432347368,0.010121152004367761
2024-08-30,0.00822024805682058,0.0,0.015655794693928315,0.00822024805682058,0.007435546637107734
2024-09-04,0.0010000000833334968,0.0,0.015323509803247084,0.0010000000833334968,0.014323509719913587
2024-09-05,0.005010030519537176,0.0,0.01490601003226292,0.005010030519537176,0.009895979512725745
2024-09-06,0.012230278493024228,0.0,0.014558061013079701,0.012230278493024228,0.002327782520055473
2024-09-09,0.00522324281655089,0.0,0.014357080098463005,0.00522324281655089,0.009133837281912114
2024-09-10,0.011285386231666533,0.0,0.014046125894691643,0.011285386231666533,0.0027607396630251104
2024-09-11,0.0040434727822989,0.0,0.01390794843484747,0.0040434727822989,0.00986447565254857
2024-09-12,0.0010124020100361181,0.0,0.01360680194629025,0.0010124020100361181,0.01259439993625413
2024-09-13,0.003040286101681913,0.0,0.013289523520230296,0.003040286101681913,0.010249237418548383
2024-09-16,0.009432829662020553,0.0,0.013014204029991216,0.009432829662020553,0.0035813743679706626
2024-09-17,0.019782537091158525,0.0,0.012892235692375057,0.019782537091158525,0.006890301398783468
2024-09-18,0.007007035676473232,0.0,0.013149365901495996,0.007007035676473232,0.006142330225022764
2024-09-19,0.004230440550839399,0.0,0.0129156308710445,0.004230440550839399,0.008685190320205101
2024-09-20,0.004230440550839347,0.0,0.012657654661198088,0.004230440550839347,0.008427214110358742
2024-09-23,0.007007035676473301,0.0,0.012439272716959576,0.007007035676473301,0.005432237040486275
2024-09-24,0.011237476227312552,0.0,0.01229181385612595,0.011237476227312552,0.0010543376288133979
2024-09-25,0.015034171032086178,0.0,0.012225383002281156,0.015034171032086178,0.0028087880298050226
2024-09-26,0.0,0.0,0.012309622141567146,0.0,0.012309622141567146
2024-09-27,0.001955034835803295,0.0,0.012074316825903368,0.001955034835803295,0.010119281990100072
2024-09-30,0.008089270731616966,0.0,0.01185484742723958,0.008089270731616966,0.0037655766956226147
2024-10-01,0.0,0.0,0.01177955385917254,0.0,0.01177955385917254
2024-10-02,0.0022126622426318875,0.0,0.01157890374698232,0.0022126622426318875,0.009366241504350432
2024-10-03,0.0061584133544931065,0.0,0.011393298635275056,0.0061584133544931065,0.00523488528078195
2024-10-04,0.00594797292607742,0.0,0.011301617811598592,0.00594797292607742,0.005353644885521172
2024-10-07,0.0032366516491732335,0.0,0.01121183718214987,0.0032366516491732335,0.007975185532976638
2024-10-08,0.0029970052402696215,0.0,0.011077594260159501,0.0029970052402696215,0.00808058901988988
2024-10-09,0.01119275458042564,0.0,0.010949597694957876,0.01119275458042564,0.00024315688546776466
2024-10-10,0.00616448752767969,0.0,0.01099075755289757,0.00616448752767969,0.00482627002521788
2024-10-11,0.0071543416050376465,0.0,0.010891506065198635,0.0071543416050376465,0.0037371644601609886
2024-10-14,0.0,0.0,0.010864602896368805,0.0,0.010864602896368805
2024-10-15,0.012058716320127614,0.0,0.010726494859605647,0.012058716320127614,0.0013322214605219675
2024-10-16,0.002939737540925069,0.0,0.010819930802341986,0.002939737540925069,0.007880193261416917
2024-10-17,0.009036573887808767,0.0,0.010709757773537805,0.009036573887808767,0.0016731838857290387
2024-10-18,0.0,0.0,0.010700732673374565,0.0,0.010700732673374565
2024-10-21,0.013216051391526375,0.0,0.010574241941330534,0.013216051391526375,0.002641809450195841
2024-10-22,0.018148416066157854,0.0,0.010813339883693892,0.018148416066157854,0.007335076182463962
2024-10-23,0.007302059387315684,0.0,0.011308342355338199,0.007302059387315684,0.0040062829680225145
2024-10-24,0.008374620700170499,0.0,0.011252713348574452,0.008374620700170499,0.0028780926484039526
2024-10-25,0.01024599127403816,0.0,0.01123335523131737,0.01024599127403816,0.0009873639572792105
2024-10-28,0.0,0.0,0.011280506214506644,0.0,0.011280506214506644
2024-10-29,0.0010293361691140592,0.0,0.01111350431751975,0.0010293361691140592,0.010084168148405692
2024-10-30,0.0030816665374081144,0.0,0.010956672543443156,0.0030816665374081144,0.007875006006035041
2024-10-31,0.0010251154152453505,0.0,0.010819246019182773,0.0010251154152453505,0.009794130603937422
2024-11-01,0.0,0.0,0.01068296984390108,0.0,0.01068296984390108
2024-11-04,0.001025115415245297,0.0,0.010557746700197379,0.001025115415245297,0.009532631284952083
2024-11-05,0.0064308903302904025,0.0,0.010446760799336645,0.0064308903302904025,0.004015870469046242
2024-11-06,0.013839277771012421,0.0,0.010435762121273284,0.013839277771012421,0.003403515649739137
2024-11-07,0.009461776252563994,0.0,0.01063341110043671,0.009461776252563994,0.001171634847872716
2024-11-08,0.004377501518448332,0.0,0.010703535772593562,0.004377501518448332,0.00632603425414523
2024-11-11,0.01901841873907284,0.0,0.010625447082024668,0.01901841873907284,0.008392971657048172
2024-11-12,0.00448135717682537,0.0,0.011201736347386672,0.00448135717682537,0.0067203791705613015
2024-11-13,0.0031754459072387583,0.0,0.011088621594930482,0.0031754459072387583,0.007913175687691723
2024-11-14,0.014146772697118065,0.0,0.010962311655528486,0.014146772697118065,0.0031844610415895785
2024-11-15,0.01762757508331357,0.0,0.011208763417767366,0.01762757508331357,0.006418811665546205
2024-11-18,0.005762123227762202,0.0,0.011624169728347733,0.005762123227762202,0.005862046500585531
2024-11-19,0.003296706282491803,0.0,0.01150632814641637,0.003296706282491803,0.008209621863924568
2024-11-20,0.00901029986616594,0.0,0.011332469549483203,0.00901029986616594,0.002322169683317263
2024-11-21,0.007851671580971399,0.0,0.011273229794460434,0.007851671580971399,0.0034215582134890354
2024-11-22,0.007522872662987415,0.0,0.011188714031987889,0.007522872662987415,0.003665841369000474
2024-11-25,0.0032171609517754637,0.0,0.01110287835941819,0.0032171609517754637,0.007885717407642726
2024-11-26,0.015190165493975238,0.0,0.010976140404430491,0.015190165493975238,0.004214025089544746
2024-11-27,0.0023774941855391227,0.0,0.011184704483832145,0.0023774941855391227,0.008807210298293022
2024-11-28,0.005556304809336669,0.0,0.011026789957471287,0.005556304809336669,0.005470485148134618
2024-11-29,0.0139641315330829,0.0,0.01094873253270487,0.0139641315330829,0.0030153990003780294
2024-12-02,0.005246601751843762,0.0,0.011102286327606091,0.005246601751843762,0.005855684575762329
2024-12-03,0.009779382814380688,0.0,0.011011758770433828,0.009779382814380688,0.0012323759560531403
2024-12-04,0.01985043720399543,0.0,0.011060590138271872,0.01985043720399543,0.008789847065723558
2024-12-05,0.01878745544033793,0.0,0.011637587692459303,0.01878745544033793,0.007149867747878628
2024-12-06,0.012944309650410298,0.0,0.011969136555852203,0.012944309650410298,0.000975173094558095
2024-12-09,0.0020975361649463306,0.0,0.011989173403809884,0.0020975361649463306,0.009891637238863552
2024-12-10,0.0010471205145252916,0.0,0.01177580630126711,0.0010471205145252916,0.01072868578674182
2024-12-11,0.003144656679471608,0.0,0.011574151516367835,0.003144656679471608,0.008429494836896227
2024-12-12,0.0,0.0,0.011413180313050683,0.0,0.011413180313050683
2024-12-13,0.004208317625787245,0.0,0.011237129045554534,0.004208317625787245,0.007028811419767289
2024-12-16,0.0073529743052589535,0.0,0.011116518954657541,0.0073529743052589535,0.0037635446493985876
2024-12-17,0.003144656679471608,0.0,0.011032264217771603,0.003144656679471608,0.007887607538299994
2024-12-18,0.005235614053944943,0.0,0.010909567210093524,0.005235614053944943,0.005673953156148582
2024-12-19,0.008390190802460439,0.0,0.01080049486949125,0.008390190802460439,0.0024103040670308117
2024-12-20,0.0,0.0,0.010818833095616274,0.0,0.010818833095616274
2024-12-23,0.005252112913461765,0.0,0.010683956053485918,0.005252112913461765,0.005431843140024153
2024-12-24,0.013182368589439265,0.0,0.010591759372069182,0.013182368589439265,0.0025906092173700827
2024-12-25,0.014229489103964722,0.0,0.010827384456509033,0.014229489103964722,0.0034021046474556893
2024-12-26,0.009115833408009413,0.0,0.011004734195574446,0.009115833408009413,0.001888900787565033
2024-12-27,0.003881490188239879,0.0,0.010974221817507741,0.003881490188239879,0.007092731629267862
2024-12-30,0.023253823763438413,0.0,0.010842890851060927,0.023253823763438413,0.012410932912377486
2024-12-31,0.01840788272037808,0.0,0.0117006360249436,0.01840788272037808,0.006707246695434481
