ds,actual,naive_pred,garch_pred,naive_error,garch_error
2024-08-23,0.01005876041784621,0.0,0.016808762557820073,0.01005876041784621,0.006750002139973862
2024-08-26,0.010058760417846238,0.0,0.016245187891831873,0.010058760417846238,0.006186427473985635
2024-08-27,0.007553539900909121,0.0,0.015761897454418014,0.007553539900909121,0.008208357553508893
2024-08-28,0.0012533947744931152,0.0,0.015206796382321705,0.0012533947744931152,0.01395340160782859
2024-08-29,0.0029184927949132172,0.0,0.014602281402507394,0.0029184927949132172,0.011683788607594177
2024-08-30,0.0012481798999327374,0.0,0.014052412345774175,0.0012481798999327374,0.012804232445841437
2024-09-04,0.007043741573175952,0.0,0.013533218916801844,0.007043741573175952,0.006489477343625892
2024-09-05,0.008291921473108723,0.0,0.013142430835476447,0.008291921473108723,0.004850509362367724
2024-09-06,0.01405562618985872,0.0,0.012858871971069266,0.01405562618985872,0.0011967542187894548
2024-09-09,0.0012322860462650562,0.0,0.012831585739314316,0.0012322860462650562,0.011599299693049259
2024-09-10,0.01449000719606301,0.0,0.012411961377797731,0.01449000719606301,0.002078045818265279
2024-09-11,0.0,0.0,0.01252461380421891,0.0,0.01252461380421891
2024-09-12,0.0016666670524692463,0.0,0.012123240573717243,0.0016666670524692463,0.010456573521247996
2024-09-13,0.002918492794913206,0.0,0.011756856602439103,0.002918492794913206,0.008838363807525897
2024-09-16,0.007123432594288412,0.0,0.011445715960356402,0.007123432594288412,0.004322283366067991
2024-09-17,0.008375258336732489,0.0,0.011275644659413681,0.008375258336732489,0.002900386322681192
2024-09-18,0.021452967951313125,0.0,0.011131348771250814,0.021452967951313125,0.010321619180062311
2024-09-19,0.008130126083250089,0.0,0.01190918435889881,0.008130126083250089,0.003779058275648721
2024-09-20,0.0,0.0,0.011695192646829531,0.0,0.011695192646829531
2024-09-23,0.00243210496861244,0.0,0.011361515297541883,0.00243210496861244,0.008929410328929443
2024-09-24,0.004050228299022738,0.0,0.011076766603962637,0.004050228299022738,0.0070265383049398986
2024-09-25,0.001618123330410263,0.0,0.010826959856314532,0.001618123330410263,0.00920883652590427
